US States,Year,Ethnicity,Gender,Heart Disease Type,Age range,Data_Value/100_000 People
AK,1999.0,American Indian/Alaska Native,Overall,All heart disease,Ages 35-64 years,84.88666666666667
AK,1999.0,American Indian/Alaska Native,Overall,All heart disease,Ages 65 years and older,1433.7555555555555
AK,1999.0,American Indian/Alaska Native,Overall,All stroke,Ages 35-64 years,23.78666666666667
AK,1999.0,American Indian/Alaska Native,Overall,All stroke,Ages 65 years and older,680.8777777777777
AK,1999.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 35-64 years,87.78
AK,1999.0,American Indian/Alaska Native,Overall,Cardiovascular disease (CVD),Ages 65 years and older,2098.988888888889
AK,1999.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 35-64 years,46.56666666666667
AK,1999.0,American Indian/Alaska Native,Overall,Coronary heart disease (CHD),Ages 65 years and older,862.3555555555555
AK,1999.0,American Indian/Alaska Native,Overall,Heart failure,Ages 35-64 years,18.06
AK,1999.0,American Indian/Alaska Native,Overall,Heart failure,Ages 65 years and older,629.8555555555555
AK,1999.0,Asian/Pacific Islander,Overall,All heart disease,Ages 35-64 years,91.45555555555556
AK,1999.0,Asian/Pacific Islander,Overall,All heart disease,Ages 65 years and older,637.2
AK,1999.0,Asian/Pacific Islander,Overall,All stroke,Ages 35-64 years,45.31111111111111
AK,1999.0,Asian/Pacific Islander,Overall,All stroke,Ages 65 years and older,489.6
AK,1999.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 35-64 years,60.85555555555556
AK,1999.0,Asian/Pacific Islander,Overall,Cardiovascular disease (CVD),Ages 65 years and older,1371.4
AK,1999.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 35-64 years,57.14444444444444
AK,1999.0,Asian/Pacific Islander,Overall,Coronary heart disease (CHD),Ages 65 years and older,347.0
AK,1999.0,Asian/Pacific Islander,Overall,Heart failure,Ages 35-64 years,13.311111111111112
AK,1999.0,Asian/Pacific Islander,Overall,Heart failure,Ages 65 years and older,241.6
AK,1999.0,Black (Non-Hispanic),Overall,All heart disease,Ages 35-64 years,137.20000000000002
AK,1999.0,Black (Non-Hispanic),Overall,All heart disease,Ages 65 years and older,2336.6
AK,1999.0,Black (Non-Hispanic),Overall,All stroke,Ages 35-64 years,22.8
AK,1999.0,Black (Non-Hispanic),Overall,All stroke,Ages 65 years and older,1414.9
AK,1999.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 35-64 years,275.0
AK,1999.0,Black (Non-Hispanic),Overall,Cardiovascular disease (CVD),Ages 65 years and older,3981.8
